CD_GEOCUF;UF Resid;REGIAO;OT-2011;OT-2012;OT-2013;OT-2014;OT-2015;OT-2016;OT-2017;OT-2018;OT-2019;OT-2020;OS-2011;OS-2012;OS-2013;OS-2014;OS-2015;OS-2016;OS-2017;OS-2018;OS-2019;OS-2020;UF_Residencia;UF Resid;pop2011;pop2012;pop2013;pop2014;pop2015;pop2016;pop2017;pop2018;pop2019;pop2020;taxa_ot_2011;taxa_ot_2012;taxa_ot_2013;taxa_ot_2014;taxa_ot_2015;taxa_ot_2016;taxa_ot_2017;taxa_ot_2018;taxa_ot_2019;taxa_ot_2020;taxa_os_2011;taxa_os_2012;taxa_os_2013;taxa_os_2014;taxa_os_2015;taxa_os_2016;taxa_os_2017;taxa_os_2018;taxa_os_2019;taxa_os_2020
12;Acre;NORTE;3157;3293;3318;3476;3517;3763;3832;4094;4098;4836;41;43;44;49;39;56;64;59;72;71;12 Acre;Acre;778499;792045;805014;818273;831665;844137;856457;869265;881935;894470;405,5;415,8;412,2;424,8;422,9;445,8;447,4;471;464,7;540,7;5,3;5,4;5,5;6;4,7;6,6;7,5;6,8;8,2;7,9
27;Alagoas;NORDESTE;18645;18376;19243;19065;19756;20769;20673;19411;20287;24117;104;109;143;118;116;112;104;137;129;131;27 Alagoas;Alagoas;3213606;3230877;3247527;3263946;3279649;3294061;3307968;3322820;3337357;3351543;580,2;568,8;592,5;584,1;602,4;630,5;624,9;584,2;607,9;719,6;3,2;3,4;4,4;3,6;3,5;3,4;3,1;4,1;3,9;3,9
16;Amapá;NORTE;2495;2601;2680;2852;2946;2995;3158;3345;3524;4597;37;21;45;34;53;36;46;62;61;50;16 Amapa;Amapá;711453;728015;744809;762156;779416;796419;813084;829494;845731;861773;350,7;357,3;359,8;374,2;378;376,1;388,4;403,3;416,7;533,4;5,2;2,9;6;4,5;6,8;4,5;5,7;7,5;7,2;5,8
13;Amazonas;NORTE;14227;14847;15129;15879;16675;16799;17281;17710;18327;24688;188;185;225;233;263;194;207;234;253;314;13 Amazonas;Amazonas;3618040;3684326;3751293;3819636;3887740;3952171;4015812;4080611;4144597;4207714;393,2;403;403,3;415,7;428,9;425,1;430,3;434;442,2;586,7;5,2;5;6;6,1;6,8;4,9;5,2;5,7;6,1;7,5
29;Bahia;NORDESTE;78046;80311;81423;83630;87083;88094;90915;90134;93365;106996;432;477;491;448;503;532;603;563;649;679;29 Bahia;Bahia;14372994;14441531;14505033;14565807;14629018;14689684;14749868;14812617;14873064;14930634;543;556,1;561,3;574,2;595,3;599,7;616,4;608,5;627,7;716,6;3;3,3;3,4;3,1;3,4;3,6;4,1;3,8;4,4;4,5
23;Ceará;NORDESTE;47886;48712;51638;51950;55258;54276;59263;57028;56580;69437;553;510;590;566;565;590;644;655;628;571;23 Ceara;Ceará;8680836;8737287;8791846;8846267;8904499;8962063;9017990;9075649;9132078;9187103;551,6;557,5;587,3;587,3;620,6;605,6;657,2;628,4;619,6;755,8;6,4;5,8;6,7;6,4;6,3;6,6;7,1;7,2;6,9;6,2
53;Distrito Federal;CENTRO-OESTE;11253;11308;11408;12018;11975;12050;12514;12157;12804;16196;100;135;124;135;130;152;168;187;199;172;53 Distrito Federal;Distrito Federal;2681052;2722198;2763488;2805774;2848633;2890224;2931057;2974703;3015268;3055149;419,7;415,4;412,8;428,3;420,4;416,9;426,9;408,7;424,6;530,1;3,7;5;4,5;4,8;4,6;5,3;5,7;6,3;6,6;5,6
32;Espírito Santo;SUDESTE;21403;21616;21651;22030;22332;22868;24112;23500;24431;29028;162;178;158;172;189;175;207;239;248;222;32 Espirito Santo;Espírito Santo;3642595;3689347;3736386;3784361;3832826;3879376;3925341;3972388;4018650;4064052;587,6;585,9;579,5;582,1;582,7;589,5;614,3;591,6;607,9;714,3;4,4;4,8;4,2;4,5;4,9;4,5;5,3;6;6,2;5,5
52;Goiás;CENTRO-OESTE;34154;36000;36254;37808;38854;38074;39973;39507;41025;48210;338;402;427;454;435;481;497;499;580;577;52 Goias;Goiás;6214241;6316302;6417591;6520857;6625528;6726130;6824504;6921161;7018354;7113540;549,6;570;564,9;579,8;586,4;566,1;585,7;570,8;584,5;677,7;5,4;6,4;6,7;7;6,6;7,2;7,3;7,2;8,3;8,1
21;Maranhão;NORDESTE;28970;28838;30919;32101;33666;34362;35275;34525;35128;43165;218;206;242;255;280;294;318;313;334;340;21 Maranhao;Maranhão;6757213;6798830;6836179;6875302;6916244;6955099;6994148;7035055;7075181;7114598;428,7;424,2;452,3;466,9;486,8;494,1;504,4;490,8;496,5;606,7;3,2;3;3,5;3,7;4;4,2;4,5;4,4;4,7;4,8
51;Mato Grosso;CENTRO-OESTE;15239;15901;16137;16969;17095;17535;17709;18205;18341;23415;158;185;177;157;145;178;197;226;241;257;51 Mato Grosso;Mato Grosso;3145830;3185148;3226030;3269448;3314540;3356979;3398791;3441998;3484466;3526220;484,4;499,2;500,2;519;515,8;522,3;521;528,9;526,4;664;5;5,8;5,5;4,8;4,4;5,3;5,8;6,6;6,9;7,3
50;Mato Grosso do Sul;CENTRO-OESTE;14291;14634;14921;15063;15457;16749;15954;16600;16815;19025;211;210;228;204;230;223;259;268;263;244;50 Mato Grosso do Sul;Mato Grosso do Sul;2525762;2557442;2589069;2621214;2653928;2685454;2716534;2748023;2778986;2809394;565,8;572,2;576,3;574,7;582,4;623,7;587,3;604,1;605,1;677,2;8,4;8,2;8,8;7,8;8,7;8,3;9,5;9,8;9,5;8,7
31;Minas Gerais;SUDESTE;122653;125074;125850;127703;131274;135257;138118;135619;141022;151369;1258;1264;1159;1357;1303;1302;1515;1530;1732;1428;31 Minas Gerais;Minas Gerais;20096163;20235204;20371328;20508631;20648978;20780264;20908628;21040662;21168791;21292666;610,3;618,1;617,8;622,7;635,7;650,9;660,6;644,6;666,2;710,9;6,3;6,2;5,7;6,6;6,3;6,3;7,2;7,3;8,2;6,7
15;Pará;NORTE;32638;33898;34150;35575;37365;38557;39980;40513;40599;51590;222;240;232;208;266;277;301;350;348;390;15 Para;Pará;7862943;7960134;8054419;8149418;8244575;8334346;8422634;8513497;8602865;8690745;415,1;425,8;424;436,5;453,2;462,6;474,7;475,9;471,9;593,6;2,8;3;2,9;2,6;3,2;3,3;3,6;4,1;4;4,5
25;Paraíba;NORDESTE;24579;25168;25926;25240;26422;28041;26975;26644;27378;30863;163;189;199;158;221;181;250;237;251;245;25 Paraiba;Paraíba;3859813;3875373;3890494;3910059;3932537;3953693;3974437;3996496;4018127;4039277;636,8;649,4;666,4;645,5;671,9;709,2;678,7;666,7;681,4;764,1;4,2;4,9;5,1;4;5,6;4,6;6,3;5,9;6,2;6,1
41;Paraná;SUL;68598;68637;69930;69348;70839;74740;71633;73848;74566;82313;593;629;655;620;716;760;774;915;944;900;41 Parana;Paraná;10738066;10822187;10908262;10997989;11089062;11176203;11261927;11348937;11433957;11516840;638,8;634,2;641,1;630,6;638,8;668,7;636,1;650,7;652,1;714,7;5,5;5,8;6;5,6;6,5;6,8;6,9;8,1;8,3;7,8
26;Pernambuco;NORDESTE;57219;57132;58209;57823;62556;66928;64364;62011;64295;76450;291;332;320;325;308;396;438;430;443;360;26 Pernambuco;Pernambuco;9062229;9126434;9189504;9252020;9317317;9376936;9434403;9496294;9557071;9616621;631,4;626;633,4;625;671,4;713,8;682,2;653;672,7;795;3,2;3,6;3,5;3,5;3,3;4,2;4,6;4,5;4,6;3,7
